code,name,group,city,state,region,stateCode
AR04162,ADREFRESH MEDIA PRIVATE LIMITED,CORPORATE,Hyderabad,Telangana,Southern,TS
AR04163,SOURCEWELL DEVICES PRIVATE LIMITED,CORPORATE,Mumbai,Maharashtra,Western,MH
AR04164,ASTIR N LEAP E EXPERTS PRIVATE LIMITED,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04166,VIJAY KUMAR GARG,Other,Ambala,Haryana,Northern,HR
AR04167,Mobiles Shoppee,DISTRIBUTO,Dhemaji,Assam,Northeastern,AS
AR04169,Shankara Traders,DISTRIBUTO,Nizamabad,Telangana,Southern,TS
AR04170,United Associates,DISTRIBUTO,Ernakulam,Kerala,Southern,KL
AR04171,Crayon Foods,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04172,Remfry And Sagar,CORPORATE,Gurgaon,Haryana,Northern,HR
AR04174,Satyam System,CORPORATE,Delhi,Delhi,Northern,DL
AR04175,Bruhathi International,CORPORATE,Bangalore,Karnataka,Southern,KA
AR04179,SB Enterprises,CORPORATE,Delhi,Delhi,Northern,DL
AR04181,Sai Mahadev Enterprises,DISTRIBUTO,Ulhasnagar,Maharashtra,Western,MH
AR04182,Moen Agencies,DISTRIBUTO,Kurduwadi,Maharashtra,Western,MH
AR04183,Agrocrafts Agri Solutions Pvt Ltd,Other,Unnao,Uttar Pradesh,Northern,UP
AR04184,Shubham EPC Private Limited,CORPORATE,Pune,Maharashtra,Western,MH
AR04185,Kanak Vinimay Pvt. Ltd.,CORPORATE,Thane,Maharashtra,Western,MH
AR04186,Om Enterprises,DISTRIBUTO,Kolhapur,Maharashtra,Western,MH
AR04187,Sea Rock Construction,Other,Haveri,Karnataka,Southern,KA
AR04188,The Spring Palette,CORPORATE,Gurgaon,Haryana,Northern,HR
AR04189,Silver Bullet Corporation,CORPORATE,Noida,Uttar Pradesh,Northern,UP
AR04190,New Azad Oil Expeller Company,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04191,Daksh Enterprise,DISTRIBUTO,Rajkot,Gujarat,Western,GJ
AR04192,Transtek Infoways Pvt Ltd,CORPORATE,Delhi,Delhi,Northern,DL
AR04193,Sonchiriya Corporation,CORPORATE,Raipur,Chhattisgarh,Central,CG
AR04194,Chandan Trading Co.,CORPORATE,Delhi,Delhi,Northern,DL
AR04200,The RSV Mobile Hub,DISTRIBUTO,East Singhbhum,Jharkhand,Eastern,JH
AR04201,Nakkashi,DISTRIBUTO,Visakhapatnam,Andhra Pradesh,Southern,AP
AR04202,Baba Tea & Co,DISTRIBUTO,Kamrup,Assam,Northeastern,AS
AR00345,Shanti Enterprises,Corporate,Delhi,Delhi,Northern,DL
